product_name,product_link,image_url,category
Vanilla Latte,https://www.mcdonalds.co.id/menu/vanilla-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/XrisqHbqJN3iCajNvs3O.webp,Sarapan Pagi
Iced Cafe Latte,https://www.mcdonalds.co.id/menu/iced-cafe-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/8jCjXDO0RMxe59BSMsfp.webp,Sarapan Pagi
Iced Cappuccino,https://www.mcdonalds.co.id/menu/iced-cappuccino,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/SG3eenb01SRwPBA9qK9W.webp,Sarapan Pagi
Iced Chocolate,https://www.mcdonalds.co.id/menu/iced-chocolate,https://d2vuyvo9qdtgo9.cloudfront.net/foods/March2024/Gy8AYJlUDt4S2UR8pE4m.webp,Sarapan Pagi
Iced Caramel Latte,https://www.mcdonalds.co.id/menu/iced-caramel-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/yKf55WdAVWd3hHEnxebf.webp,Sarapan Pagi
Iced Vanilla Latte,https://www.mcdonalds.co.id/menu/iced-vanilla-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/hwoh95Hebkfngy0HQXob.webp,Sarapan Pagi
Iced Hazelnut Latte,https://www.mcdonalds.co.id/menu/iced-hazelnut-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/c5p1Aho5Ba5tN9bJOhP9.webp,Sarapan Pagi
Latte Frappe,https://www.mcdonalds.co.id/menu/latte-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/Uih3O5gF85oOm7rD9EcL.webp,Sarapan Pagi
Mocha Frappe,https://www.mcdonalds.co.id/menu/mocha-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/eqLiK6Pm57xR15w535oc.webp,Sarapan Pagi
Choco Frappe,https://www.mcdonalds.co.id/menu/choco-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/1cMluOnsL7bEcMbl378D.webp,Sarapan Pagi
Hazelnut Frappe,https://www.mcdonalds.co.id/menu/hazelnut-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/31LSp2avFFqisNK91uvZ.webp,Sarapan Pagi
Mango Frappe,https://www.mcdonalds.co.id/menu/mango-frappe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/glPuoPU9NsV1b8DchCaP.webp,Sarapan Pagi
Cheese Stick,https://www.mcdonalds.co.id/menu/cheese-stick,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/9cryH7GthdOzRFDTKTD7.webp,Sarapan Pagi
Banana Muffin,https://www.mcdonalds.co.id/menu/banana-muffin,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/oMnBXD7ZdSWWOqp48dZ4.webp,Sarapan Pagi
Choco Chip Muffin,https://www.mcdonalds.co.id/menu/choco-chip-muffin,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/fjL3RMZGBiLU60prFJvq.webp,Sarapan Pagi
Cheese Croissant,https://www.mcdonalds.co.id/menu/cheese-croissant,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/5Z7lvoYOioIKzAbbQPT5.webp,Sarapan Pagi
Tuna Puff Pastry,https://www.mcdonalds.co.id/menu/tuna-puff-pastry,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/Zs6YV7fSav6L69dbLp4g.webp,Sarapan Pagi
Choco Lover,https://www.mcdonalds.co.id/menu/choco-lover,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/7wqaQa9bsKjsS5BifRP4.webp,Sarapan Pagi
Klepon Cake,https://www.mcdonalds.co.id/menu/klepon-cake,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/0dfZFZHn8SHSTLCtFisB.webp,Sarapan Pagi
French Fries,https://www.mcdonalds.co.id/menu/french-fries,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/3t5navlXGbepANigzlmu.webp,Sarapan Pagi
Sweet Corn,https://www.mcdonalds.co.id/menu/sweet-corn,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/3AuaRfU6UkkANxV1xS4l.webp,Sarapan Pagi
McSpaghetti,https://www.mcdonalds.co.id/menu/mcspaghetti,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/ksEMQTT4GbYR2JBeGPJ2.png,Sarapan Pagi
